Inputs,MMSE,MAE,MSE,RMSE,RSS,R2,Model_id,Weights
"['dBiomassEst', 'BioWeight', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0325799465179444,0.015280594676733,0.0020187513553537,0.0420107947662472,0.0610044165514409,0.9284752249717712,1668,
"['BiomassEst', 'dCarbon_Feed', 'Biomass0', 'Induction', 'miuSimp', 'Protein']",1.0342946290969848,0.0159685257822275,0.0023575456230901,0.0453397687524557,0.0712106058374047,0.9237739324569704,1071,
"['Time', 'Age', 'dBiomassEst', 'BioWeight', 'dCarbon_Feed', 'Biomass0', 'Induction', 'Protein']",1.035451054573059,0.0165519927628338,0.0023471212567528,0.0445741703733801,0.0711353830061853,0.9108648896217346,1773,
"['dBiomassEst', 'BioWeight', 'CPR', 'Biomass0', 'Induction', 'miuSimp', 'Protein']",1.035863757133484,0.0166842551901936,0.002495269535575,0.0465865258127451,0.0752290984615683,0.9018781661987304,1662,
"['dBiomassEst', 'Carbon_Feed', 'Biomass0', 'Induction', 'miuSimp', 'Protein']",1.0361920595169067,0.0167570141144096,0.0026779922423884,0.0483984552323818,0.0802918075583875,0.8935652375221252,1122,
"['Time', 'Age', 'BiomassEst', 'BioWeight', 'dCarbon_Feed', 'Induction', 'Protein']",1.0361572265625,0.0168001209385693,0.0025570406025508,0.0472483988851308,0.077178118750453,0.9101215720176696,1177,
"['BioWeight', 'dCarbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'Protein']",1.0361336469650269,0.0168467288836836,0.002440240845317,0.0461838003247976,0.0739520924165844,0.9236392855644228,1150,
"['dBiomassEst', 'dCarbon_Feed', 'Biomass0', 'Induction', 'miuSimp', 'Protein']",1.036160588264465,0.0168469046242535,0.0024667307618074,0.0468524437397718,0.0746873525902628,0.90402854681015,1126,
"['dBiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'Protein']",1.0364957571029665,0.0168570682406425,0.0027816054935101,0.0483124637976288,0.0844036988448351,0.9142322659492492,526,
"['dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.036334013938904,0.0169074306264519,0.0025191280175931,0.0482364762574434,0.0757516097277402,0.9075114607810976,1128,
"['Age', 'BiomassEst', 'Carbon_Feed', 'Induction', 'Protein']",1.036845588684082,0.0171040432527661,0.0026374884822871,0.0475947853177785,0.0794422951526939,0.9242753744125366,361,
"['dBiomassEst', 'BioWeight', 'CPR', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0369411945343017,0.0171948110684752,0.0025516675668768,0.0473281297832727,0.0771049784496426,0.9177446365356444,1664,
"['Time', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.038024353981018,0.0175627228803932,0.0028989036771235,0.0497809195891022,0.0873878451995551,0.9068198084831238,803,
"['BiomassEst', 'Carbon_Feed', 'Induction', 'Protein']",1.038483190536499,0.0177263276651501,0.0030305454449262,0.0502933334559202,0.091126006655395,0.9269569039344788,110,
"['Age', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.0386375904083252,0.0178148129489272,0.003007960859395,0.0499172389507293,0.0914749140385538,0.9057849884033204,959,
"['Age', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0391163587570191,0.0180875184945762,0.0029413593976642,0.0490704711526632,0.0898816511500626,0.8957289934158326,1004,
"['Age', 'BiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0391743898391723,0.01809898968786,0.0029764062375761,0.0514812927693128,0.089802061393857,0.9030563831329346,1520,
"['Time', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.0397392988204956,0.0181689886376261,0.0034012849762802,0.051164599135518,0.1033640741370618,0.9195289015769958,1339,
"['BiomassEst', 'BioWeight', 'Biomass0', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0395310163497924,0.018179998639971,0.0031710198323708,0.0509785454720258,0.095909447222948,0.91824631690979,1637,
"['Age', 'BioWeight', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0395809650421142,0.018219231441617,0.0031425128196133,0.0506840148940682,0.0954791272990405,0.911776864528656,988,
"['dBiomassEst', 'BioWeight', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.0395936965942385,0.0182305203750729,0.0031326672440627,0.0504794936627149,0.0955874856561422,0.9149165391921996,1099,
"['BiomassEst', 'BioWeight', 'Induction', 'CumulativeAge', 'Protein']",1.0402026414871215,0.0183021111413836,0.0035983896406833,0.0519058778882026,0.1089422531425952,0.9254278063774108,468,
"['Age', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.039814019203186,0.0183077865280211,0.0031984655506676,0.0506764320656657,0.0970170177519321,0.9108473539352416,444,
"['Age', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.039872670173645,0.0183169917203485,0.0032386948063503,0.0505778275430202,0.0987194358371198,0.9245104432106018,2008,
"['Time', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'Induction', 'Protein']",1.0398870706558228,0.0183607270009815,0.003165632445598,0.050803604722023,0.0965989399701356,0.9167218327522276,717,
"['Age', 'BiomassEst', 'dCarbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'Protein']",1.0398442983627318,0.0184145442210137,0.0030152107356116,0.0505632806569337,0.0919342497363686,0.9045250535011292,1517,
"['Time', 'Age', 'dCarbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0398957967758178,0.0184216618537902,0.0030525059322826,0.0508544417098164,0.0927505682222545,0.8955928921699524,1843,
"['Time', 'BiomassEst', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0405296325683593,0.0185284243430942,0.0034728083119262,0.0512275302782654,0.1063303041737526,0.921031403541565,1370,
"['Age', 'dBiomassEst', 'BioWeight', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.0402989149093629,0.0185487859882414,0.0032013690914027,0.0515058288350701,0.0963542210869491,0.9033374071121216,1546,
"['Age', 'BiomassEst', 'dCarbon_Feed', 'Biomass0', 'Induction', 'Protein']",1.0402427673339845,0.0185845108702778,0.0030736981192603,0.0524259462952613,0.0930242486298084,0.9035318613052368,905,
"['Age', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.040667748451233,0.018656650930643,0.003354495181702,0.0532131899148225,0.101859650015831,0.8977260947227478,1609,
"['Age', 'BiomassEst', 'BioWeight', 'Biomass0', 'Induction', 'Protein']",1.0409337997436523,0.0186844223178923,0.0035649083729367,0.0520479757338762,0.1086226929910481,0.9290809392929076,879,
"['Time', 'Age', 'BioWeight', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0407843589782717,0.0187225504778325,0.0033392160141374,0.05210179425776,0.1015110080130398,0.9133569359779358,1289,
"['Time', 'Age', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Biomass0', 'Induction', 'Protein']",1.0409919023513794,0.018754933681339,0.0034820962173398,0.0524977054446935,0.1064232224598527,0.9104651808738708,1814,
